playerID,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,POS,AVG
troutmi01,2019,LAA,AL,134,470,110,137,25,2,45,104,11,2,110,119,CF,0.291
bregmal01,2019,HOU,AL,156,554,122,164,37,1,41,112,17,3,119,83,3B,0.296
bellejo01,2019,PIT,NL,143,504,94,161,37,3,37,116,2,3,75,108,1B,0.319
moralke01,2019,MIL,NL,144,507,91,148,29,3,37,108,15,5,87,144,1B,0.292
bellcodi01,2019,NYA,AL,143,491,77,130,22,1,33,92,4,2,94,158,C,0.265
arenano01,2019,COL,NL,120,438,70,122,20,3,26,74,3,1,62,99,3B,0.279
albieoz01,2019,ATL,NL,156,604,102,164,41,3,24,86,15,7,52,99,2B,0.272
lindofr01,2019,CLE,AL,143,518,101,149,30,2,26,71,22,7,68,123,SS,0.288
soto*jo01,2019,WAS,NL,150,542,110,153,32,4,34,110,12,5,108,132,RF,0.282
deversra01,2019,BOS,AL,156,576,129,201,54,3,32,115,8,4,72,146,3B,0.349
realmjjr01,2019,COL,NL,145,533,87,148,35,2,25,83,3,2,40,96,C,0.278
grishal01,2019,SFN,NL,156,586,104,155,29,3,31,92,14,4,72,155,OF,0.265
meadeal01,2019,PIT,NL,123,438,67,110,26,3,12,38,12,5,37,107,OF,0.251
santachr01,2019,MIN,AL,127,490,79,136,28,2,28,77,1,1,34,102,2B,0.278
martijdp01,2019,BOS,AL,146,561,97,162,35,3,24,78,12,5,62,93,OF,0.289
murphyd01,2019,COL,NL,59,211,27,63,12,0,7,37,0,1,30,35,1B,0.299
abreujo02,2019,CHA,AL,159,598,85,170,38,1,33,123,2,2,45,151,1B,0.284
vladdyjr01,2019,TOR,AL,155,601,91,166,42,1,33,111,14,5,54,124,3B,0.276
swanday01,2019,ATL,NL,127,464,77,130,27,2,17,65,10,5,65,120,SS,0.28
seagercor01,2019,LAD,NL,134,484,82,130,26,2,19,87,4,1,70,116,SS,0.269
machama01,2019,SDN,NL,160,573,81,149,30,2,32,85,4,4,67,128,3B,0.26
rendonan01,2019,WAS,NL,146,539,117,174,44,2,34,126,6,2,80,86,3B,0.323
harpebr03,2019,PHI,NL,157,563,98,154,36,1,35,114,15,5,99,178,OF,0.274
stantogi01,2019,NYA,AL,18,59,8,13,2,0,3,13,0,0,8,23,OF,0.22
olsonal01,2019,OAK,AL,127,434,73,112,26,2,36,91,2,1,51,138,1B,0.258
bogaexs01,2019,BOS,AL,155,567,110,166,33,4,33,117,5,3,76,122,SS,0.293
