date,hour,boro,street,fromst,tost,direction,vol,temperature_2m,precipitation
2023-11-15,20,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,20,45.14,0.0
2023-11-15,21,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,15,45.95,0.0
2023-11-15,21,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,26,45.95,0.0
2023-11-15,21,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,23,45.95,0.0
2023-11-15,21,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,13,45.95,0.0
2023-11-15,22,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,17,44.6,0.0
2023-11-15,22,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,15,44.6,0.0
2023-11-15,22,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,14,44.6,0.0
2023-11-15,22,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,8,44.6,0.0
2023-11-15,23,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,11,44.059998,0.0
2023-11-15,23,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,12,44.059998,0.0
2023-11-15,23,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,3,44.059998,0.0
2023-11-15,23,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,9,44.059998,0.0
2023-11-16,0,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,5,42.440002,0.0
2023-11-16,0,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,3,42.440002,0.0
2023-11-16,0,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,5,42.440002,0.0
2023-11-16,0,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,6,42.440002,0.0
2023-11-16,1,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,3,42.89,0.0
2023-11-16,1,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,1,42.89,0.0
2023-11-16,1,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,2,42.89,0.0
2023-11-16,1,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,2,42.89,0.0
2023-11-16,2,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,4,41.989998,0.0
2023-11-16,2,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,2,41.989998,0.0
2023-11-16,2,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,4,41.989998,0.0
2023-11-16,2,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,1,41.989998,0.0
2023-11-16,3,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,4,41.0,0.0
2023-11-16,3,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,4,41.0,0.0
2023-11-16,3,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,1,41.0,0.0
2023-11-16,3,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,1,41.0,0.0
2023-11-16,4,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,3,40.28,0.0
2023-11-16,4,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,5,40.28,0.0
2023-11-16,4,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,2,40.28,0.0
2023-11-16,4,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,1,40.28,0.0
2023-11-16,5,Brooklyn,AVENUE J,East 80 Street,East 81 Street,EB,7,38.66,0.0
